date,category,value,type
2026-07-16,Colazione & Caffè,3.00,outcome
2026-07-16,Colazione & Caffè,3.86,outcome
2026-07-19,Spesa & Alimentari,34.08,outcome
2026-07-19,Colazione & Caffè,3.09,outcome
2026-07-19,Tasse & Rimborsi,17.69,income
2026-07-19,Sport & Tempo Libero,9.96,outcome
2026-07-20,Spesa & Alimentari,75.96,outcome
2026-07-20,Abbonamenti & Streaming,3.00,outcome
2026-07-21,Sport & Tempo Libero,68.26,outcome
2026-07-22,Sport & Tempo Libero,6.24,outcome
2026-07-24,Abbonamenti & Streaming,3.50,outcome
2026-07-25,Spesa & Alimentari,46.89,outcome
2026-07-26,Abbonamenti & Streaming,18.73,outcome
2026-07-26,Colazione & Caffè,3.00,outcome
2026-07-26,Colazione & Caffè,5.35,outcome
2026-07-27,Stipendio,3272.28,income
2026-07-27,Abbonamenti & Streaming,16.98,outcome
2026-07-28,Spesa & Alimentari,226.07,outcome
2026-08-01,Salute & Prevenzione,132.63,outcome
2026-08-01,Viaggi & Trasporti,6.45,outcome
2026-08-03,Cena & Ristoranti,77.99,outcome
2026-08-04,Colazione & Caffè,4.11,outcome
2026-08-04,Sport & Tempo Libero,42.33,outcome
2026-08-05,Colazione & Caffè,19.56,outcome
2026-08-05,Spesa & Alimentari,8.38,outcome
2026-08-06,Sosta & Parcheggi,7.36,outcome
2026-08-06,Auto & Trasporti,8.20,outcome
2026-08-07,Luce & Gas,3.00,outcome
2026-08-08,Colazione & Caffè,3.00,outcome
2026-08-08,Tasse & Rimborsi,32.98,income
2026-08-08,Shopping Online,69.97,outcome
2026-08-09,Colazione & Caffè,3.00,outcome
2026-08-10,Bollette,119.23,outcome
2026-08-10,Abbonamenti & Streaming,7.67,outcome
2026-08-12,Spesa & Alimentari,12.43,outcome
2026-08-13,Colazione & Caffè,14.94,outcome
2026-08-14,Spesa & Alimentari,92.82,outcome
2026-08-14,Da categorizzare,444.43,income
2026-08-16,Bollette,24.14,outcome
2026-08-17,Sport & Tempo Libero,102.86,outcome
2026-08-17,Spesa & Alimentari,67.77,outcome
2026-08-19,Spesa & Alimentari,90.39,outcome
2026-08-19,Colazione & Caffè,11.42,outcome
2026-08-21,Viaggi & Trasporti,27.58,outcome
2026-08-22,Luce & Gas,158.73,outcome
2026-08-23,Cena & Ristoranti,126.12,outcome
2026-08-23,Cena & Ristoranti,6.85,outcome
2026-08-25,Spesa & Alimentari,10.08,outcome
2026-08-25,Sosta & Parcheggi,16.72,outcome
2026-08-26,Spesa & Alimentari,118.99,outcome
2026-08-27,Abbonamenti & Streaming,37.99,outcome
2026-08-27,Stipendio,3303.12,income
2026-08-27,Spesa & Alimentari,68.65,outcome
2026-08-27,Cena & Ristoranti,8.02,outcome
2026-08-27,Shopping & Abbigliamento,24.76,outcome
2026-08-28,Auto & Trasporti,31.58,outcome
